Name;Cas Number;E Score;E Color;H Score;H Color;S Score;S Color;EHS Color;Boiling Point (°C);Melting Point (°C);Vapour Pressure (25°C mmHg);Flash Point (°C);Autoignition Temperature (°C);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20°C g/L);Density (25°C kg/L);Viscosity (25°C mPa.s);Relative Vapour Density (Air=1);Log P Octanol Water (20°C);Refractive Index (20°C);Surface Tension (25°C mN/m);Molar Volume;Relative Evaporation Rate (BuAc=100);Antoine A;Antoine B;Antoine C;Molecular Weight
heptane;142-82-5;7;#FF6347;2;#9ACD32;6;#FFD700;#FFD700;98.5;-90.6;46.054;-1.1;215;15.3;0;0;0.0022;0.7;0.39;3.5;4.66;1.388;19.65;147;390;6.929;1283.1;218.6;100
hexane;110-54-3;7;#FF6347;7;#FF6347;8;#FF6347;#FF6347;68.7;-95.3;150.762;-11.82;223;14.9;0;0;0.013;0.66;0.3;2.97;4.11;1.375;17.88;131.4;830;6.864;1164.6;223.6;86
Hexyl acetate, n-;142-92-7;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;171.5;-80.9;1.320;37.2;242;15.8;2.9;5.9;0.43;0.88;1.05;4.97;2.87;1.409;26.02;166.1;6.3;7.402;1591.9;187.7;144
Isoamyl acetate;123-92-2;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;142.5;-78.5;5.603;25;379;15.3;3.1;7;2;0.88;0.79;4.49;2.26;1.398;24.28;150.2;32;7.228;1503.8;204;130
isoamyl alcohol;123-51-3;3;#9ACD32;2;#9ACD32;3;#9ACD32;#9ACD32;131.1;-117.2;2.370;45.6;365;15.8;5.2;13.3;26.7;0.81;3.93;3.04;1.28;1.405;23.71;109.3;17;7.53;1462.1;183.7;88
isobutanol;78-83-1;3;#9ACD32;4;#FFD700;3;#9ACD32;#9ACD32;107.8;-108;10.501;27.78;430;15.1;5.7;15.9;70;0.8;3.37;2.6;0.79;13.957;22.54;92.9;62;7.588;1399.5;189.4;74
Isobutyl acetate;110-19-0;3;#9ACD32;2;#9ACD32;4;#FFD700;#9ACD32;116.5;-98.8;17.776;20;427;15.1;3.7;6.3;5.6;0.88;0.69;4;1.72;1.4;23.7;133.8;106;7.037;1351.4;207.9;116
isopropylacetate;108-21-4;3;#9ACD32;2;#9ACD32;5;#FFD700;#9ACD32;88.6;-73.4;60.380;2;460;14.9;4.5;8.2;25.25;0.89;0.56;3.5;1.03;13.773;22.1;117.6;350;7.141;1327.2;222.6;102
Lactic acid, butyl ester;138-22-7;5;#FFD700;2;#9ACD32;1;#9ACD32;#9ACD32;186;-28;0.170;71;340;15.8;6.5;10.2;42;0.98;5.63;5.04;0.98;1.42;30.46;149;2.2;73.849;1674.3;180;146
LacticÂ acid;50-21-5;7;#FF6347;4;#FFD700;1;#9ACD32;#FFD700;216;53;0.029;110;400;17;8.3;28.4;1000;1.19;36.9;3.11;0.6;14.392;44.9;73.8;0.3;78.292;1819.7;145.3;90
methanol;67-56-1;5;#FFD700;7;#FF6347;4;#FFD700;#9ACD32;64.7;-98;126.760;12;455;14.7;12.3;22.3;1000;0.75;0.544;1.11;0.74;13.288;22.07;40.6;300;7.46;1251;208.7;32
Methyl acetate;79-20-9;5;#FFD700;3;#9ACD32;5;#FFD700;#FFD700;57.4;-98;21.602;-10;455;15.5;7.2;7.6;243.5;0.928;0.364;2.6;0.18;13.614;24.1;79.8;1180;6.986;1120.5;216;74
Methyl amyl acetate;108-84-9;5;#FFD700;2;#9ACD32;3;#9ACD32;#9ACD32;147.5;-64;28.802;45;265.5;15.2;3.1;6.8;5;0.86;0.98;4.97;19.841;1.409;24.15;167.4;31;71.023;1509.4;201;144
Methyl isopropyl ketone;563-80-4;3;#9ACD32;2;#9ACD32;5;#FFD700;#9ACD32;94;-94.4;52.714;2;448;15.8;6.8;5;8.21;0.8501;0.454;3;0.84;1.388;24.3;107.8;352;69.712;1259.7;219.5;86
Methyl laurate;111-82-0;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;267;5.2;0.004;94;220;16.1;3.6;4.2;7.759;0.87;3;7.4;5.41;1.432;29.14;247.2;0.4;72.564;1889.2;170;214
Methyl tetrahydrofuran, 2-;96-47-9;3;#9ACD32;5;#FFD700;6;#FFD700;#FFD700;78;-136;154.513;-11;270;16.9;5;4.3;150;0.86;0.61;2.5;11.853;1.405;26.41;100.2;443;6.831;1178.1;218;86
Methylcyclohexane;108-87-2;7;#FF6347;2;#9ACD32;6;#FFD700;#FFD700;100.93;-126.6;46.350;-4;250;16;0;1;0.014;0.769;0.679;3.39;3.88;14.231;23.29;128.2;300;6.851;1286.9;223.2;98
Metoxy-ethanol;109-86-4;3;#9ACD32;9;#FF6347;3;#9ACD32;#FF6347;124;-85;9.500;38;285;16;8.2;15;1000;0.96;1.57;2.6;0.85;14.024;30.84;79.3;33;7.205;1435.2;207.5;76
MTBE;1634-04-4;5;#FFD700;3;#9ACD32;8;#FF6347;#FFD700;54;-110;204.000;-28;224;14.8;4.3;5;41.85;0.7353;0.44;3.23;1.06;1.369;20.43;119.8;1409;6.752;1073.9;222.2;88
n-Butyl Acetate;123-86-4;3;#9ACD32;2;#9ACD32;4;#FFD700;#9ACD32;126.4;-78;11.498;26.5;421.11;15.8;3.7;6.3;5.3;0.876;0.6;4;1.81;13.941;25.09;132.6;100;7.128;1443.3;213.8;116
n-Butyl Propionate;590-01-2;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;146.4;-90;3.440;38.5;426.11;15.7;5.5;5.9;2;0.871;0.78;4.5;2.34;1.401;24.89;149.3;45;7.156;1489;202.9;130
Nitromethane;75-52-5;3;#9ACD32;2;#9ACD32;10;#FF6347;#FF6347;101.2;-29;35.778;44.4;418;15.8;18.8;6.1;105;1.06;0.61;2.11;0.35;13.817;37.19;54.1;84;7.047;1292.5;209.2;61
N-methyl pyrrolidone;872-50-4;7;#FF6347;9;#FF6347;1;#9ACD32;#FF6347;202;-24;0.350;91;269;18;12.3;7.2;1000;1.023;1.666;3.4;0.46;14.684;40.7;96.6;3;6.959;1698.5;186.9;99
n-pentyl propionate;624-54-4;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;169;-75;3.600;56;375;15.8;5.2;5.7;0.81;0.873;1;4.98;2.823;1.41;25.63;165.3;17;71.514;1554.7;194.8;144
octanol;111-87-5;5;#FFD700;2;#9ACD32;1;#9ACD32;#9ACD32;195.1;-15.5;0.080;81.11;253;16;5;11.9;0.107;0.82;7.31;4.5;2.8;1.427;27.1;158.2;0.897;7.392;1681.8;177.6;130
o-xylene;95-47-6;5;#FFD700;2;#9ACD32;4;#FFD700;#FFD700;144.5;-25.2;6.608;28.88;465;17.8;1;3.1;0.146;0.87;0.76;3.7;3.12;1.503;29.76;121.1;80;7.01;1481.9;214.5;106
p-cymene;99-87-6;5;#FFD700;2;#9ACD32;3;#9ACD32;#9ACD32;177.1;-68.9;1.463;47.2;435;18;3.5;2.7;0.02;0.86;0.76;4.62;4.1;1.489;27.77;156.3;13;69.894;1589.4;200.6;134
pentane;109-66-0;7;#FF6347;3;#9ACD32;8;#FF6347;#FF6347;36;-129.7;51.379;-49.4;260;14.5;0;0;0.0385;0.63;0.22;2.5;3.39;1.358;15.49;116;2740;6.854;1065.7;232.2;72
propan-2-ol;67-63-0;3;#9ACD32;3;#9ACD32;4;#FFD700;#9ACD32;82.3;-89.5;45.379;11.67;425;15.8;6.1;16.4;1000;0.79;2.04;2.1;0.05;13.776;21.3;76.9;150;7.644;1320.3;194.8;60
propylene carbonate;108-32-7;7;#FF6347;2;#9ACD32;1;#9ACD32;#FFD700;242;-49.2;0.030;135;430;20;18;4.1;240;1.204;2.53;3.52;0.5417;1.42;40.9;85.2;0.001;6.678;2321.5;200.5;102
pyridine;110-86-1;3;#9ACD32;2;#9ACD32;4;#FFD700;#FF6347;115.2;-41.6;20.777;17;482;19;8.8;5.9;1000;0.98;0.89;2.73;0.65;1.51;36.56;80.9;78;7.022;1364.7;214.3;79
R-limonene (+) (D);5989-27-5;7;#FF6347;2;#9ACD32;4;#FFD700;#FFD700;176;-75;1.980;50;237;16.5;0.6;0;0.0138;0.84;0.923;4.7;4.57;1.47;26;162.9;12;7.044;1597.4;208.6;136
tert-Amyl methyl ether;994-05-8;3;#9ACD32;2;#9ACD32;6;#FFD700;#9ACD32;86.3;-80;75.200;-11;415;15.2;4.5;2.5;4.4;0.766;0.46;3;1.55;13.862;18.3;136.1;745;69.541;1242.3;224.4;102
tert-butanol;75-65-0;3;#9ACD32;3;#9ACD32;4;#FFD700;#9ACD32;83;25;31.000;11;470;15.2;5.1;14.7;1000;0.775;3.33;2.6;0.35;1.385;69.8;95.8;160;7.672;1332.3;195.5;74
tetrahydrofuran;109-99-9;5;#FFD700;7;#FF6347;6;#FFD700;#FFD700;66;-108.4;162.013;-14;321;16.8;5.7;8;1000;0.8833;0.456;2.5;0.45;1.41;26.32;81.9;472;6.79;1165.5;232.2;72
Tetrahydrofurfuryl alcohol;97-99-4;5;#FFD700;9;#FF6347;1;#9ACD32;#FF6347;178;-80;0.800;74;282;17.8;8.2;12.9;1000;1.054;11.08;3.52;0.14;1.452;37;97.4;3;7.225;1647.4;202;102
toluene;108-88-3;3;#9ACD32;6;#FFD700;5;#FFD700;#FFD700;110.6;-94.9;28.352;10;535;18;1.4;2;0.2;0.87;0.55;3.1;2.65;14.961;27.93;106.6;190;6.938;1334.8;218.4;92
Triethylamine;121-44-8;3;#9ACD32;7;#FF6347;6;#FFD700;#FF6347;89.3;-114.7;57.155;-7;215;15.5;0.4;1;73.7;0.75;20.14;3.5;1.45;1.401;20.22;139.7;377;6.961;1217.7;209.5;101
